Time (sec) ,  Temperature (C) ,measured,,   ,   ,   ,   ,   ,   ,   ,   ,   ,  
378,99.5,2.12,,,,,,,,,,,
379,99.6,2.12,,,,,,,,,,,
380,99.8,2.12,,,,,,,,,,,
381,100,2.13,,,,,,,,,,,
382,100.1,2.12,,,,,,,,,,,
383,100.3,2.13,,,,,,,,,,,
384,100.5,2.13,,,,,,,,,,,
385,100.6,2.12,,,,,,,,,,,
386,100.8,2.12,,,,,,,,,,,
387,101,2.12,,,,,,,,,,,
388,101.1,2.12,,,,,,,,,,,
389,101.3,2.12,,,,,,,,,,,
390,101.4,2.12,,,,,,,,,,,
391,101.6,2.12,,,,,,,,,,,
392,101.8,2.12,,,,,,,,,,,
393,102,2.12,,,,,,,,,,,
394,102.1,2.12,,,,,,,,,,,
395,102.3,2.12,,,,,,,,,,,
396,102.4,2.12,,,,,,,,,,,
397,102.6,2.12,,,,,,,,,,,
398,102.8,2.12,,,,,,,,,,,
399,102.9,2.12,,,,,,,,,,,
400,103.1,2.12,,,,,,,,,,,
401,103.2,2.12,,,,,,,,,,,
402,103.4,2.12,,,,,,,,,,,
403,103.5,2.12,,,,,,,,,,,
404,103.7,2.12,,,,,,,,,,,
405,103.9,2.11,,,,,,,,,,,
406,104,2.11,,,,,,,,,,,
407,104.2,2.11,,,,,,,,,,,
408,104.3,2.11,,,,,,,,,,,
409,104.5,2.11,,,,,,,,,,,
410,104.7,2.11,,,,,,,,,,,
411,104.8,2.11,,,,,,,,,,,
412,105,2.11,,,,,,,,,,,
413,105.1,2.12,,,,,,,,,,,
414,105.3,2.11,,,,,,,,,,,
415,105.4,2.11,,,,,,,,,,,
416,105.6,2.11,,,,,,,,,,,
417,105.8,2.12,,,,,,,,,,,
418,105.9,2.12,,,,,,,,,,,
419,106.1,2.12,,,,,,,,,,,
420,106.2,2.12,,,,,,,,,,,
421,106.4,2.12,,,,,,,,,,,
422,106.6,2.12,,,,,,,,,,,
423,106.7,2.12,,,,,,,,,,,
424,106.9,2.12,,,,,,,,,,,
425,107,2.12,,,,,,,,,,,
426,107.2,2.12,,,,,,,,,,,
427,107.3,2.12,,,,,,,,,,,
428,107.5,2.12,,,,,,,,,,,
429,107.6,2.13,,,,,,,,,,,
430,107.8,2.12,,,,,,,,,,,
431,107.9,2.13,,,,,,,,,,,
432,108.1,2.12,,,,,,,,,,,
433,108.2,2.12,,,,,,,,,,,
434,108.4,2.12,,,,,,,,,,,
435,108.6,2.12,,,,,,,,,,,
436,108.7,2.13,,,,,,,,,,,
437,108.9,2.12,,,,,,,,,,,
438,109,2.12,,,,,,,,,,,
439,109.1,2.12,,,,,,,,,,,
440,109.3,2.12,,,,,,,,,,,
441,109.5,2.12,,,,,,,,,,,
442,109.6,2.12,,,,,,,,,,,
443,109.8,2.12,,,,,,,,,,,
444,109.9,2.12,,,,,,,,,,,
445,110,2.13,,,,,,,,,,,
446,110.2,2.13,,,,,,,,,,,
447,110.4,2.12,,,,,,,,,,,
448,110.5,2.13,,,,,,,,,,,
449,110.7,2.12,,,,,,,,,,,
450,110.8,2.12,,,,,,,,,,,
451,110.9,2.12,,,,,,,,,,,
452,111.1,2.12,,,,,,,,,,,
453,111.3,2.12,,,,,,,,,,,
454,111.4,2.12,,,,,,,,,,,
455,111.6,2.12,,,,,,,,,,,
456,111.7,2.12,,,,,,,,,,,
457,111.8,2.12,,,,,,,,,,,
458,112,2.12,,,,,,,,,,,
459,112.1,2.12,,,,,,,,,,,
460,112.3,2.11,,,,,,,,,,,
461,112.4,2.11,,,,,,,,,,,
462,112.6,2.11,,,,,,,,,,,
463,112.7,2.11,,,,,,,,,,,
464,112.8,2.11,,,,,,,,,,,
465,113,2.11,,,,,,,,,,,
466,113.2,2.11,,,,,,,,,,,
467,113.3,2.11,,,,,,,,,,,
468,113.4,2.11,,,,,,,,,,,
469,113.6,2.11,,,,,,,,,,,
470,113.7,2.11,,,,,,,,,,,
471,113.9,2.11,,,,,,,,,,,
472,114,2.11,,,,,,,,,,,
473,114.2,2.11,,,,,,,,,,,
474,114.3,2.11,,,,,,,,,,,
475,114.4,2.11,,,,,,,,,,,
476,114.6,2.11,,,,,,,,,,,
477,114.7,2.12,,,,,,,,,,,
478,114.9,2.12,,,,,,,,,,,
479,115,2.12,,,,,,,,,,,
480,115.1,2.12,,,,,,,,,,,
481,115.3,2.12,,,,,,,,,,,
482,115.4,2.12,,,,,,,,,,,
483,115.6,2.12,,,,,,,,,,,
484,115.7,2.12,,,,,,,,,,,
485,115.9,2.12,,,,,,,,,,,
486,116,2.12,,,,,,,,,,,
487,116.1,2.12,,,,,,,,,,,
488,116.3,2.12,,,,,,,,,,,
489,116.4,2.12,,,,,,,,,,,
490,116.6,2.12,,,,,,,,,,,
491,116.7,2.12,,,,,,,,,,,
492,116.8,2.12,,,,,,,,,,,
493,117,2.13,,,,,,,,,,,
494,117.1,2.13,,,,,,,,,,,
495,117.3,2.13,,,,,,,,,,,
496,117.4,2.13,,,,,,,,,,,
497,117.5,2.12,,,,,,,,,,,
498,117.7,2.12,,,,,,,,,,,
499,117.8,2.12,,,,,,,,,,,
500,117.9,2.13,,,,,,,,,,,
501,118.1,2.12,,,,,,,,,,,
502,118.2,2.12,,,,,,,,,,,
503,118.3,2.13,,,,,,,,,,,
504,118.5,2.13,,,,,,,,,,,
505,118.6,2.13,,,,,,,,,,,
506,118.7,2.12,,,,,,,,,,,
507,118.9,2.13,,,,,,,,,,,
508,119,2.12,,,,,,,,,,,
509,119.2,2.12,,,,,,,,,,,
510,119.3,2.13,,,,,,,,,,,
511,119.4,2.13,,,,,,,,,,,
512,119.5,2.12,,,,,,,,,,,
513,119.7,2.12,,,,,,,,,,,
514,119.8,2.12,,,,,,,,,,,
515,120,2.12,,,,,,,,,,,
