Energy(eV)	Element_n	Element	Line	Relative_intensity
38724.7	61	Pm	Kα	100
38729.9	57	La	Kβ	6
39170.1	58	Ce	Kβ	10
39257.3	58	Ce	Kβ	19
39522.4	62	Sm	Kα	55
40118.1	62	Sm	Kα	100
40233	58	Ce	Kβ	6
40652.9	59	Pr	Kβ	10
40748.2	59	Pr	Kβ	19
40901.9	63	Eu	Kα	56
41542.2	63	Eu	Kα	100
41773	59	Pr	Kβ	6
42166.5	60	Nd	Kβ	10
42271.3	60	Nd	Kβ	19
42308.9	64	Gd	Kα	56
42996.2	64	Gd	Kα	100
43335	60	Nd	Kβ	6
43713	61	Pm	Kβ	10
43744.1	65	Tb	Kα	56
43826	61	Pm	Kβ	19
44481.6	65	Tb	Kα	100
44942	61	Pm	Kβ	6
45207.8	66	Dy	Kα	56
45289	62	Sm	Kβ	10
45413	62	Sm	Kβ	19
45998.4	66	Dy	Kα	100
46578	62	Sm	Kβ	6
46699.7	67	Ho	Kα	56
46903.6	63	Eu	Kβ	10
47037.9	63	Eu	Kβ	19
47546.7	67	Ho	Kα	100
48221.1	68	Er	Kα	56
48256	63	Eu	Kβ	6
48555	64	Gd	Kβ	10
48697	64	Gd	Kβ	20
49127.7	68	Er	Kα	100
49772.6	69	Tm	Kα	57
49959	64	Gd	Kβ	7
50229	65	Tb	Kβ	10
50382	65	Tb	Kβ	20
50741.6	69	Tm	Kα	100
51354	70	Yb	Kα	57
51698	65	Tb	Kβ	7
51957	66	Dy	Kβ	10
52119	66	Dy	Kβ	20
52388.9	70	Yb	Kα	100
52965	71	Lu	Kα	57
53476	66	Dy	Kβ	7
