Time (s),RMS CH2 (V),Heater Voltage (V),Heater Current (A),Temp Raw (C),Delta T Raw (C/s),DVM CH2 (V)
92.0013411,1.066,35,0.412,66.44374648,0.184907395,1.07
92.50134921,1.066,35,0.412,66.547742,0.219175677,1.06
93.00140786,1.066,35,0.412,66.72310411,0.262249362,1.06
93.50132895,1.066,35,0.412,66.89082672,0.298100543,1.07
94.00061536,1.066,35,0.412,66.94021861,0.262025028,1.07
94.51328635,1.066,35,0.412,67.10885667,0.250812286,1.07
95.00099826,1.066,35,0.412,67.15824617,0.182771456,1.06
95.5020709,1.066,35,0.412,67.27228721,0.22090516,1.06
96.00129628,1.066,35,0.412,67.37961741,0.180787243,1.06
96.50072312,1.066,35,0.412,67.49029911,0.22162268,1.07
97.00110388,1.066,35,0.412,67.66562499,0.262025654,1.07
97.50080633,1.066,35,0.412,67.7150087,0.223727336,1.06
98.00137258,1.066,35,0.412,67.83574394,0.230036037,1.06
98.51312852,1.066,35,0.412,68.00099681,0.218445151,1.06
99.00185418,1.066,35,0.412,68.05037723,0.228736727,1.07
99.50079727,1.066,35,0.412,68.22811367,0.262133924,1.07
100.013607,1.066,35,0.412,68.32871656,0.213022306,1.07
100.5002036,1.066,35,0.412,68.44608422,0.271071221,1.06
101.0008166,1.066,35,0.412,68.55674286,0.218817865,1.06
101.5011837,1.066,35,0.412,68.6640461,0.223388991,1.06
102.0005322,1.066,35,0.412,68.77470045,0.219363363,1.07
102.5117218,1.066,35,0.412,68.88870574,0.216464252,1.07
103.0126278,1.066,35,0.412,68.99935582,0.223135494,1.06
103.5017381,1.066,35,0.412,69.11000385,0.228512496,1.06
104.0015187,1.066,35,0.412,69.22400275,0.223629442,1.06
104.5013072,1.066,35,0.412,69.3279411,0.219149542,1.07
105.0007765,1.066,35,0.412,69.44528879,0.223760802,1.07
105.5103884,1.066,35,0.412,69.61292466,0.254390942,1.07
106.000428,1.066,35,0.412,69.72356201,0.269108133,1.06
106.5014682,1.066,35,0.412,69.83755012,0.260964632,1.06
