Time(s),CH1(V),CH2(V)
0.005030,2.412000,-0.026719
0.005030,2.412000,-0.028930
0.005030,2.371799,-0.030257
0.005030,2.371799,-0.031141
0.005030,2.371799,-0.031141
0.005031,2.371799,-0.031141
0.005031,2.371799,-0.029372
0.005031,2.371799,-0.027161
0.005031,2.331598,-0.025835
0.005031,2.331598,-0.026277
0.005031,2.331598,-0.027604
0.005032,2.331598,-0.028046
0.005032,2.331598,-0.028046
0.005032,2.291397,-0.027161
0.005032,2.291397,-0.026719
0.005032,2.291397,-0.027161
0.005032,2.291397,-0.028488
0.005032,2.291397,-0.029372
0.005033,2.251196,-0.028488
0.005033,2.251196,-0.027604
0.005033,2.251196,-0.026719
0.005033,2.251196,-0.026277
0.005033,2.251196,-0.027161
0.005033,2.251196,-0.027161
0.005034,2.210995,-0.027161
0.005034,2.210995,-0.026277
0.005034,2.210995,-0.026719
0.005034,2.210995,-0.026719
0.005034,2.210995,-0.026277
0.005034,2.170794,-0.025393
0.005035,2.170794,-0.025393
0.005035,2.170794,-0.026719
0.005035,2.170794,-0.027604
0.005035,2.170794,-0.028046
0.005035,2.170794,-0.027161
0.005035,2.130593,-0.026277
0.005035,2.130593,-0.024508
0.005036,2.130593,-0.023624
0.005036,2.130593,-0.024066
0.005036,2.130593,-0.024508
0.005036,2.130593,-0.024950
0.005036,2.090392,-0.026277
0.005036,2.090392,-0.027161
0.005037,2.090392,-0.027161
0.005037,2.090392,-0.025393
0.005037,2.050191,-0.023624
0.005037,2.050191,-0.023182
0.005037,2.050191,-0.024066
0.005037,2.050191,-0.024950
0.005037,2.050191,-0.025835
0.005038,2.050191,-0.025835
0.005038,2.050191,-0.024950
0.005038,2.009990,-0.024508
0.005038,2.009990,-0.023624
0.005038,2.009990,-0.023182
0.005038,2.009990,-0.023624
0.005039,2.009990,-0.024508
0.005039,2.009990,-0.025393
0.005039,2.009990,-0.024950
0.005039,1.969789,-0.023624
0.005039,1.969789,-0.021855
0.005039,1.969789,-0.021413
0.005040,1.969789,-0.022297
0.005040,1.929588,-0.024066
0.005040,1.929588,-0.025393
0.005040,1.929588,-0.026719
0.005040,1.929588,-0.027161
0.005040,1.929588,-0.024950
0.005040,1.929588,-0.022297
0.005041,1.929588,-0.019644
0.005041,1.889387,-0.019202
0.005041,1.889387,-0.020086
0.005041,1.889387,-0.022739
0.005041,1.889387,-0.025393
0.005041,1.889387,-0.026719
0.005042,1.889387,-0.025393
0.005042,1.849186,-0.022739
0.005042,1.849186,-0.020970
0.005042,1.849186,-0.020528
0.005042,1.849186,-0.020970
0.005042,1.849186,-0.022739
0.005043,1.849186,-0.024066
0.005043,1.849186,-0.024950
0.005043,1.808985,-0.024508
0.005043,1.808985,-0.023182
0.005043,1.808985,-0.020528
0.005043,1.808985,-0.018759
0.005043,1.808985,-0.019202
0.005044,1.808985,-0.020970
0.005044,1.768784,-0.023182
0.005044,1.768784,-0.024508
0.005044,1.768784,-0.024066
0.005044,1.768784,-0.022739
0.005044,1.768784,-0.020970
0.005045,1.768784,-0.020086
0.005045,1.728583,-0.020086
0.005045,1.728583,-0.020970
0.005045,1.728583,-0.021413
0.005045,1.728583,-0.021855
0.005045,1.728583,-0.020970
0.005045,1.728583,-0.019644
0.005046,1.728583,-0.018759
0.005046,1.728583,-0.018317
0.005046,1.688382,-0.019644
0.005046,1.688382,-0.021855
0.005046,1.688382,-0.023624
0.005046,1.688382,-0.024066
0.005047,1.688382,-0.023182
0.005047,1.688382,-0.021413
0.005047,1.688382,-0.019202
0.005047,1.648181,-0.017875
