Time(s),CHAN1(V),CHAN2(V)
0.001065,-0.009859,-0.001637
0.001065,-0.009859,-0.001637
0.001065,-0.009859,-0.001637
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.002441
0.001065,-0.009859,-0.003245
0.001065,-0.009859,-0.003245
0.001065,-0.009859,-0.003245
0.001065,-0.009859,-0.003245
0.001065,-0.009859,-0.003245
0.001066,-0.009859,-0.003245
0.001066,-0.009859,-0.003245
0.001066,-0.009859,-0.003245
0.001066,-0.009859,-0.003245
0.001066,-0.009859,-0.003245
0.001066,-0.009859,-0.003245
0.001066,-0.009859,-0.003245
0.001066,-0.009859,-0.003245
0.001066,-0.009859,-0.003245
0.001066,-0.009859,-0.003245
0.001066,-0.009859,-0.003245
0.001066,-0.009859,-0.003245
0.001066,-0.009859,-0.002441
0.001066,-0.009859,-0.002441
0.001066,-0.009859,-0.002441
0.001066,-0.009859,-0.002441
0.001066,-0.009859,-0.002441
0.001066,-0.009859,-0.002441
0.001066,-0.009859,-0.002441
0.001066,-0.009859,-0.002441
0.001066,-0.009859,-0.002441
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001066,-0.009859,-0.001637
0.001067,-0.009859,-0.001637
0.001067,-0.009859,-0.001637
0.001067,-0.009859,-0.001637
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.002441
0.001067,-0.009859,-0.001637
0.001067,-0.009859,-0.001637
0.001067,-0.009859,-0.001637
0.001067,-0.009859,-0.001637
0.001067,-0.009859,-0.001637
0.001067,-0.009859,-0.001637
0.001067,-0.009859,-0.001637
0.001068,-0.009859,-0.001637
0.001068,-0.009859,-0.001637
0.001068,-0.009859,-0.001637
0.001068,-0.009859,-0.001637
0.001068,-0.009859,-0.001637
0.001068,-0.009859,-0.001637
0.001068,-0.009859,-0.001637
0.001068,-0.009859,-0.001637
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.003245
0.001068,-0.009859,-0.003245
0.001068,-0.009859,-0.003245
0.001068,-0.009859,-0.003245
0.001068,-0.009859,-0.003245
0.001068,-0.009859,-0.003245
0.001068,-0.009859,-0.003245
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.002441
0.001068,-0.009859,-0.001637
0.001068,-0.009859,-0.001637
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.000833
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.001637
0.001069,-0.009859,-0.002441
0.001069,-0.009859,-0.002441
0.001069,-0.009859,-0.002441
0.001069,-0.009859,-0.002441
0.001069,-0.009859,-0.002441
0.001069,-0.009859,-0.002441
0.001069,-0.009859,-0.002441
0.001069,-0.009859,-0.002441
0.001069,-0.009859,-0.002441
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.003245
0.001070,-0.009859,-0.002441
0.001070,-0.009859,-0.002441
0.001070,-0.009859,-0.002441
0.001070,-0.009859,-0.002441
0.001070,-0.009859,-0.002441
0.001070,-0.009859,-0.002441
0.001070,-0.009859,-0.002441
0.001070,-0.009859,-0.002441
0.001070,-0.009859,-0.001637
0.001070,-0.009859,-0.001637
0.001070,-0.009859,-0.001637
0.001070,-0.009859,-0.001637
0.001070,-0.009859,-0.001637
0.001070,-0.009859,-0.001637
0.001070,-0.009859,-0.001637
0.001070,-0.009859,-0.001637
0.001070,-0.009859,-0.000833
