Time(s),CHAN1(V),CHAN2(V)
0.001012,2.764010,-0.066763
0.001012,2.764010,-0.066763
0.001012,2.764010,-0.066763
0.001012,2.764010,-0.066763
0.001012,2.764010,-0.066763
0.001012,2.764010,-0.066763
0.001012,2.764010,-0.065959
0.001012,2.764010,-0.065959
0.001012,2.764010,-0.065959
0.001012,2.764010,-0.065959
0.001012,2.764010,-0.065959
0.001012,2.723809,-0.065959
0.001012,2.723809,-0.065959
0.001012,2.723809,-0.065959
0.001012,2.723809,-0.065959
0.001012,2.723809,-0.065155
0.001012,2.723809,-0.065155
0.001012,2.723809,-0.065155
0.001012,2.723809,-0.065155
0.001013,2.723809,-0.065155
0.001013,2.723809,-0.065155
0.001013,2.723809,-0.065155
0.001013,2.723809,-0.065155
0.001013,2.723809,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.683608,-0.065155
0.001013,2.643407,-0.065155
0.001013,2.643407,-0.065155
0.001013,2.643407,-0.065155
0.001013,2.643407,-0.065155
0.001013,2.643407,-0.065155
0.001013,2.643407,-0.065155
0.001013,2.643407,-0.065155
0.001013,2.643407,-0.065155
0.001013,2.643407,-0.064351
0.001013,2.643407,-0.064351
0.001013,2.643407,-0.064351
0.001013,2.643407,-0.064351
0.001013,2.643407,-0.064351
0.001013,2.603206,-0.064351
0.001013,2.603206,-0.064351
0.001013,2.603206,-0.064351
0.001013,2.603206,-0.063546
0.001013,2.603206,-0.063546
0.001013,2.603206,-0.063546
0.001013,2.603206,-0.063546
0.001014,2.603206,-0.063546
0.001014,2.603206,-0.063546
0.001014,2.603206,-0.062742
0.001014,2.603206,-0.062742
0.001014,2.603206,-0.062742
0.001014,2.603206,-0.062742
0.001014,2.603206,-0.062742
0.001014,2.563005,-0.062742
0.001014,2.563005,-0.062742
0.001014,2.563005,-0.062742
0.001014,2.563005,-0.061938
0.001014,2.563005,-0.061938
0.001014,2.563005,-0.061938
0.001014,2.563005,-0.061938
0.001014,2.563005,-0.061938
0.001014,2.563005,-0.061938
0.001014,2.563005,-0.061938
0.001014,2.563005,-0.061938
0.001014,2.563005,-0.061134
0.001014,2.563005,-0.061134
0.001014,2.563005,-0.061134
0.001014,2.522804,-0.061134
0.001014,2.522804,-0.061134
0.001014,2.522804,-0.061134
0.001014,2.522804,-0.061134
0.001014,2.522804,-0.061134
0.001014,2.522804,-0.061134
0.001014,2.522804,-0.061134
0.001014,2.522804,-0.061134
0.001014,2.522804,-0.060330
0.001014,2.522804,-0.060330
0.001014,2.522804,-0.060330
0.001014,2.522804,-0.060330
0.001014,2.522804,-0.060330
0.001014,2.522804,-0.060330
0.001014,2.482603,-0.060330
0.001014,2.482603,-0.060330
0.001014,2.482603,-0.060330
0.001015,2.482603,-0.060330
0.001015,2.482603,-0.060330
0.001015,2.482603,-0.060330
0.001015,2.482603,-0.060330
0.001015,2.482603,-0.059526
0.001015,2.482603,-0.059526
0.001015,2.482603,-0.059526
0.001015,2.482603,-0.059526
0.001015,2.482603,-0.059526
0.001015,2.482603,-0.059526
0.001015,2.482603,-0.059526
0.001015,2.442402,-0.059526
0.001015,2.442402,-0.059526
0.001015,2.442402,-0.059526
0.001015,2.442402,-0.059526
0.001015,2.442402,-0.059526
0.001015,2.442402,-0.059526
0.001015,2.442402,-0.059526
0.001015,2.442402,-0.059526
0.001015,2.442402,-0.060330
0.001015,2.442402,-0.060330
0.001015,2.442402,-0.060330
0.001015,2.442402,-0.060330
0.001015,2.442402,-0.060330
0.001015,2.442402,-0.060330
0.001015,2.442402,-0.060330
0.001015,2.402201,-0.060330
0.001015,2.402201,-0.060330
0.001015,2.402201,-0.060330
0.001015,2.402201,-0.060330
0.001015,2.402201,-0.060330
0.001015,2.402201,-0.060330
0.001015,2.402201,-0.060330
0.001015,2.402201,-0.060330
0.001015,2.402201,-0.059526
0.001015,2.402201,-0.059526
0.001015,2.402201,-0.059526
0.001015,2.402201,-0.059526
0.001015,2.402201,-0.059526
0.001016,2.402201,-0.058722
0.001016,2.402201,-0.058722
0.001016,2.362000,-0.058722
0.001016,2.362000,-0.058722
0.001016,2.362000,-0.057918
0.001016,2.362000,-0.057918
0.001016,2.362000,-0.057918
0.001016,2.362000,-0.057114
0.001016,2.362000,-0.057114
0.001016,2.362000,-0.057114
0.001016,2.362000,-0.057114
0.001016,2.362000,-0.057114
0.001016,2.362000,-0.056310
0.001016,2.362000,-0.056310
0.001016,2.362000,-0.056310
0.001016,2.362000,-0.056310
0.001016,2.362000,-0.056310
0.001016,2.362000,-0.055506
0.001016,2.362000,-0.055506
0.001016,2.362000,-0.055506
0.001016,2.362000,-0.055506
0.001016,2.362000,-0.055506
0.001016,2.362000,-0.055506
0.001016,2.362000,-0.055506
0.001016,2.362000,-0.055506
0.001016,2.362000,-0.055506
0.001016,2.362000,-0.054702
0.001016,2.362000,-0.054702
0.001016,2.362000,-0.054702
0.001016,2.362000,-0.054702
0.001016,2.362000,-0.054702
0.001016,2.321799,-0.054702
0.001016,2.321799,-0.054702
0.001016,2.321799,-0.054702
0.001016,2.321799,-0.054702
0.001016,2.321799,-0.055506
0.001016,2.321799,-0.055506
0.001016,2.321799,-0.055506
0.001017,2.321799,-0.055506
0.001017,2.321799,-0.055506
0.001017,2.321799,-0.055506
0.001017,2.321799,-0.055506
0.001017,2.321799,-0.055506
0.001017,2.321799,-0.056310
0.001017,2.321799,-0.056310
